Entity	Remark
http://viaf.org/viaf/310545182	Timeout
http://viaf.org/viaf/107208808	Timeout
http://ld.zdb-services.de/resource/9837747	RedirectedUntilNotFound
http://hub.culturegraph.org/about/BVB-BV007325415	NotFound
"""http://d-nb.info/966027612""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/102238243	RedirectedUntilLanded
http://de.dbpedia.org/resource/Die_Insel_des_zweiten_Gesichts	RedirectedUntilLanded
"""http://d-nb.info/951666525""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/111825385	RedirectedUntilLanded
http://d-nb.info/gnd/12861160X	RedirectedUntilLanded
http://ru.dbpedia.org/resource/Чалаев	Error
http://d-nb.info/gnd/140777083	RedirectedUntilLanded
http://www.wikidata.org/entity/Q9906741	RedirectedUntilLanded
http://viaf.org/viaf/178694111	Timeout
http://lod.hebis.de/resource/01673234	Timeout
http://bn.dbpedia.org/resource/টেমপ্লেট:MNG/doc	Error
http://et.dbpedia.org/resource/César_Evora	Error
"""http://d-nb.info/947981195""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/181564076	RedirectedUntilLanded
"""http://d-nb.info/911014489""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://fa.dbpedia.org/resource/%D8%A7%DA%86%E2%80%8C%D8%AF%DB%8C_222410	Error
"""http://d-nb.info/930239393""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
"""http://d-nb.info/961373148""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/109405021	RedirectedUntilLanded
"""http://d-nb.info/957442408""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/12797704X	RedirectedUntilLanded
http://lod.hebis.de/resource/07615523	Timeout
http://it.dbpedia.org/resource/L'antico_regno_del_silenzio	Error
http://d-nb.info/gnd/122252357	RedirectedUntilTimeout
http://d-nb.info/gnd/133021548	RedirectedUntilLanded
http://fa.dbpedia.org/resource/%D9%81%DB%8C%D8%B6%E2%80%8C%D8%A7%D8%A8%D8%A7%D8%AF_(%D8%AA%D8%A7%D8%AC%DB%8C%DA%A9%D8%B3%D8%AA%D8%A7%D9%86)	Error
"""http://d-nb.info/1006159576""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://bio2rdf.org/go_association:431563	RedirectedUntilLanded
http://d-nb.info/gnd/139022643	RedirectedUntilLanded
http://ar.dbpedia.org/resource/%D8%A7%D9%84%D8%A7%D8%B4%D8%A7%D8%B1%D8%A9_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D9%8A%D9%87	Timeout
"""http://d-nb.info/861120787""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://ja.dbpedia.org/resource/%E3%83%95%E3%82%A3%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%83%89%E3%83%9E%E3%83%B3	RedirectedUntilLanded
http://bio2rdf.org/uniprot:P68082_24	RedirectedUntilLanded
http://ld.zdb-services.de/resource/5688346	RedirectedUntilNotFound
http://bio2rdf.org/ns/foaf:Skafar,%20Debra%20F	RedirectedUntilNotFound
http://lod.b3kat.de/title/BV001031245	RedirectedUntilLanded
http://bio2rdf.org/go_association:702656	RedirectedUntilLanded
http://d-nb.info/gnd/141952342	RedirectedUntilLanded
http://d-nb.info/gnd/1015042171	RedirectedUntilLanded
http://d-nb.info/gnd/151355606	RedirectedUntilLanded
http://d-nb.info/gnd/131016075	RedirectedUntilLanded
http://lod.hebis.de/resource/06035780	Timeout
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000046a3c2	NotFound
http://www.last.fm/user/kiege911	Timeout
http://data.europeana.eu/item/91622/BCFDA5E44A0CFA1E1AE4D72A76EB6E833B5F429B	RedirectedUntilNotFound
http://lod.hebis.de/resource/05626242	Timeout
"""http://d-nb.info/996747052""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
"""http://d-nb.info/954932862""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
"""http://d-nb.info/960370021""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://ja.dbpedia.org/resource/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Eiden_PICT2736-2.JPG	RedirectedUntilNotFound
http://hub.culturegraph.org/about/BVB-BV005856004	NotFound
http://lod.hebis.de/resource/12280273	Timeout
http://ar.dbpedia.org/resource/ملف:04fb8a59b86a24.jpg	Timeout
http://mk.dbpedia.org/resource/Rexión_Sur_do_Brasil	Error
"""http://d-nb.info/881301094""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
"""http://d-nb.info/750491183""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
http://d-nb.info/gnd/1019554177	RedirectedUntilLanded
http://d-nb.info/gnd/187736928	RedirectedUntilLanded
http://d-nb.info/gnd/1048288188	RedirectedUntilLanded
"""http://d-nb.info/830954864""^^<http://www.w3.org/2001/XMLSchema#string>"	Error
