Entity	Remark
http://fr.dbpedia.org/resource/Brian_Stepanek	RedirectedUntilLanded
http://d-nb.info/gnd/117142468	RedirectedUntilLanded
http://ja.dbpedia.org/resource/Category:外食事業者	RedirectedUntilLanded
http://an.dbpedia.org/resource/Categoría:Atletas_de_Sudafrica	Error
http://wikidata.org/entity/Q483297	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Martin_Schulz_(politik)	RedirectedUntilNotFound
http://dbpedia.org/resource/Rainbow_Iris	Timeout
http://ar.dbpedia.org/resource/كون	Timeout
http://mpii.de/yago/resource/The_Spirit_Room	RedirectedUntilNotFound
http://www.wikidata.org/entity/Q672380	RedirectedUntilLanded
http://et.dbpedia.org/resource/Kategooria:37_eKr	Error
http://az.dbpedia.org/resource/Q%C9%99ribl%C9%99r	Error
http://bg.dbpedia.org/resource/Категория:Филми_носители_на_Оскар_за_най-добър_адаптиран_сценарий	RedirectedUntilLanded
http://be.dbpedia.org/resource/Глоса	NotFound
http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/The_Monkees	RedirectedUntilNotFound
http://d-nb.info/gnd/124010458	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Loebnerova_cena	RedirectedUntilTimeout
http://ar.dbpedia.org/resource/تصنيف:1983_في_العراق	Timeout
http://br.dbpedia.org/resource/She'll_Be_Coming_'Round_the_Mountain	Error
http://eo.dbpedia.org/resource/Batalo_de_Simanko	RedirectedUntilNotFound
http://ru.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%A0%D0%BE%D0%B4%D0%B8%D0%B2%D1%88%D0%B8%D0%B5%D1%81%D1%8F_%D0%B2_%D0%A1%D1%85%D0%B0%D1%80%D0%B1%D0%B5%D0%BA%D0%B5	Error
http://dbpedia.org/resource/Bishop_of_Crediton	Timeout
http://als.dbpedia.org/resource/Le_P%C3%A2quier_NE	Error
http://dbpedia.org/resource/Radioactive_labeling	Timeout
http://zh.dbpedia.org/resource/卡兰戈拉	Error
http://ca.dbpedia.org/resource/Winneconne	RedirectedUntilLanded
http://de.dbpedia.org/resource/Arrondissement_Montbéliard	RedirectedUntilLanded
http://dbpedia.org/resource/Aces_Go_Places_3	Timeout
http://az.dbpedia.org/resource/Astragalus_miguelensis	Error
http://ca.dbpedia.org/resource/Categoria:Loricàrids	RedirectedUntilLanded
http://be-x-old.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:696	Error
http://dbpedia.org/resource/NHL%27s_CBA	Timeout
http://yago-knowledge.org/resource/Knud_Vad_Thomsen	RedirectedUntilLanded
http://www.wikidata.org/entity/Q6479120	Timeout
http://ru.dbpedia.org/resource/%D0%A4%D0%BE%D1%82%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C	Error
http://be.dbpedia.org/resource/%D0%AF%D0%BD_%D0%A0%D0%B0%D0%B4%D0%B7%D1%96%D0%B2%D1%96%D0%BB_(14xx%E2%80%941542)	NotFound
http://ca.dbpedia.org/resource/Loqui	RedirectedUntilLanded
http://be.dbpedia.org/resource/%D0%93%D0%BE%D1%80%D0%B0%D0%B4_%D0%9C%D1%8F%D0%BD%D0%B7%D0%B5%D0%BB%D1%96%D0%BD%D1%81%D0%BA	NotFound
http://dbpedia.org/resource/Ryönchinlkhümbe,_Khövsgöl	Timeout
http://ca.dbpedia.org/resource/Francastel	RedirectedUntilLanded
http://ru.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%96%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D0%B5-%D0%BB%D1%8E%D0%B4%D0%BE%D0%B5%D0%B4%D1%8B	Error
http://dbpedia.org/resource/Tennessee_commissioner_of_veterans_affairs	Timeout
http://nl.dbpedia.org/resource/Offoy_(Oise)	RedirectedUntilTimeout
http://ar.dbpedia.org/resource/%D8%A3%D8%B1%D9%8A%D8%B3_%D9%81%D8%A7%D9%84%D9%8A%D8%B3	Timeout
http://data.bibsys.no/data/notrbib/authorityentry/x90868658	Error
http://es.dbpedia.org/resource/Acoelorrhaphe	RedirectedUntilLanded
http://ast.dbpedia.org/resource/Presidente_de_Paquist%C3%A1n	Error
http://mpii.de/yago/resource/Pleasant_Plains,_Illinois	RedirectedUntilNotFound
http://an.dbpedia.org/resource/Léon_Bloy	Error
http://be.dbpedia.org/resource/Кастэлана-Гротэ	NotFound
http://ca.dbpedia.org/resource/Categoria:Esborranys_de_Cro%C3%A0cia	RedirectedUntilLanded
http://dbpedia.org/resource/Jon_neise	Timeout
http://ru.dbpedia.org/resource/%D0%9D%D0%B8%D0%BA%D0%B0%D1%87%D0%BA%D0%BE%D0%B2%D1%86%D0%B8	Error
http://az.dbpedia.org/resource/Kateqoriya:Pasifistlər	Error
http://es.dbpedia.org/resource/Henri_Falc%C3%B3n	RedirectedUntilLanded
http://ja.dbpedia.org/resource/市田忠義	RedirectedUntilLanded
http://dbpedia.org/resource/Bonnerveen	Timeout
http://dbpedia.org/resource/Ziya_Gökalp	Timeout
http://ar.dbpedia.org/resource/الإسلام_في_روسيا	Timeout
http://de.dbpedia.org/resource/Jeff_Brown	RedirectedUntilLanded
http://fi.dbpedia.org/resource/Byōdō-in	Error
http://wikidata.dbpedia.org/resource/Q1916666	NotFound
http://ar.dbpedia.org/resource/%D8%B9%D9%88%D8%AF%D8%A9_%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D8%B7%D8%A7%D8%A8	Timeout
http://commons.dbpedia.org/resource/Akihabara_massacre	Timeout
http://dbpedia.org/resource/Tr’ondek_Hwech’in_First_Nation	Timeout
http://www.wikidata.org/entity/Q4094604	RedirectedUntilLanded
http://da.dbpedia.org/resource/Folketingsvalget_1964	Error
http://fr.dbpedia.org/resource/Tsalka	RedirectedUntilLanded
http://dbpedia.org/resource/527_committee	Timeout
http://zh.dbpedia.org/resource/%E5%94%90%E7%AB%B9	Error
http://an.dbpedia.org/resource/Categor%C3%ADa:85_aC_(muertes)	Error
http://uk.dbpedia.org/resource/Сеппуа-ле-Ба	RedirectedUntilNotFound
http://af.dbpedia.org/resource/Knoop	Error
http://de.dbpedia.org/resource/Gesves	RedirectedUntilLanded
http://mpii.de/yago/resource/Boum-Badaboum	RedirectedUntilNotFound
http://be-x-old.dbpedia.org/resource/%D0%AF%D1%82%D1%80%D1%8B%D1%88%D0%BD%D1%96%D0%BA	Error
http://ar.dbpedia.org/resource/%D8%B3%D9%84%D9%85%D9%89_%D9%84%D8%A7%D8%BA%D8%B1%D9%84%D9%88%D9%81	Timeout
http://fr.dbpedia.org/resource/Festival_du_cin%C3%A9ma_nordique	RedirectedUntilLanded
http://bg.dbpedia.org/resource/%D0%A1%D0%B8%D0%BD%D1%81%D1%8F%D0%BD	RedirectedUntilLanded
http://dbpedia.org/resource/NER_Class_E	Timeout
http://bn.dbpedia.org/resource/বিষয়শ্রেণী:৩৯৭	Error
http://dbpedia.org/resource/Negative_probability	Timeout
http://dbpedia.org/resource/Hopewell_Township,_Perry_County,_Ohio	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Kráľová_pri_Senci	RedirectedUntilNotFound
http://cs.dbpedia.org/resource/T.I._vs._T.I.P.	Timeout
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000b6ebd6	NotFound
http://bg.dbpedia.org/resource/Категория:Религия_в_Палестина	RedirectedUntilLanded
http://ar.dbpedia.org/resource/ملحق:487	Timeout
http://de.dbpedia.org/resource/Luigi_Cagnola	RedirectedUntilLanded
http://de.dbpedia.org/resource/Der_stumme_Fr%C3%BChling	RedirectedUntilLanded
http://www.wikidata.org/entity/Q1084056	RedirectedUntilLanded
http://mpii.de/yago/resource/Leon_Vance	RedirectedUntilNotFound
http://pl.dbpedia.org/resource/Parleza_Wielka	NotFound
http://ca.dbpedia.org/resource/Hansi	RedirectedUntilLanded
http://ru.dbpedia.org/resource/Плащ_и_Кинжал_(Marvel_Comics)	Error
http://wikidata.dbpedia.org/resource/Q3698495	NotFound
http://rdf.freebase.com/ns/m.0f1zk4	NotFound
http://cs.dbpedia.org/resource/Seznam_egyptsk%C3%BDch_boh%C5%AF	RedirectedUntilNotFound
http://fr.dbpedia.org/resource/Cat%C3%A9gorie:%C3%8Ele_de_Slovaquie	RedirectedUntilNotFound
http://hr.dbpedia.org/resource/Gondi	Error
http://an.dbpedia.org/resource/Saut%C3%B3	Error
http://dbpedia.org/resource/This_Hungry_Life	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Meselech_Melkamuov%C3%A1	RedirectedUntilNotFound
http://ar.dbpedia.org/resource/تصنيف:أعلام_من_مقاطعة_لوس_أنجليس،_كاليفورنيا	Timeout
http://mpii.de/yago/resource/Iconiq	RedirectedUntilNotFound
http://bn.dbpedia.org/resource/পাউন্ড_স্টার্লিং	Error
http://sr.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%98%D0%B0:%D0%95%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D0%BD%D0%B8_%D0%B4%D0%B8%D0%B7%D0%B0%D1%98%D0%BD	Error
http://ar.dbpedia.org/resource/بويس_برنارد	Timeout
http://cs.dbpedia.org/resource/Kategorie:Narození_1463	RedirectedUntilNotFound
http://dbpedia.org/resource/Mariner_Write	RedirectedUntilNotFound
http://bg.dbpedia.org/resource/Хаяо_Миядзаки	RedirectedUntilLanded
http://yago-knowledge.org/resource/Bottom_eta_meson	RedirectedUntilLanded
http://dbpedia.org/resource/4485_Radonezhskij	Timeout
http://af.dbpedia.org/resource/Johannes_Kepler	Error
http://ar.dbpedia.org/resource/عملية_درع_الصحراء	Timeout
http://dbpedia.org/resource/Murmansk_railway	RedirectedUntilNotFound
http://bat-smg.dbpedia.org/resource/Alžīrs	Error
http://dbpedia.org/resource/Philadelphia_Experiment_(film)	RedirectedUntilNotFound
http://be-x-old.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:%D0%9F%D0%B0%D1%80%D0%BD%D0%B0%D0%B3%D1%80%D0%B0%D1%84%D1%96%D1%8F	Error
http://dbpedia.org/resource/Seven_Story_Drop	RedirectedUntilLanded
http://ca.dbpedia.org/resource/Eudes_III_de_Borgonya	RedirectedUntilLanded
http://az.dbpedia.org/resource/Kateqoriya:Qazax%C4%B1stan	Error
http://d-nb.info/gnd/118518461	RedirectedUntilLanded
http://ro.dbpedia.org/resource/Categorie:Renault	Error
http://it.dbpedia.org/resource/Dušan	Error
http://ceb.dbpedia.org/resource/Conus_sponsalis	Error
http://dbpedia.org/resource/IsoEthernet	RedirectedUntilLanded
http://cs.dbpedia.org/resource/SNK_Evropští_demokraté	RedirectedUntilNotFound
http://cs.dbpedia.org/resource/Albert_Kazim%C3%ADr_Sasko-T%C4%9B%C5%A1%C3%ADnsk%C3%BD	RedirectedUntilNotFound
http://dbpedia.org/resource/Kohji_Onuma	Timeout
http://be.dbpedia.org/resource/Уладзімір_Якаўлевіч_Проп	NotFound
http://ar.dbpedia.org/resource/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A7%D8%AA_%D8%AD%D8%B3%D8%A8_%D8%A7%D9%84%D9%86%D9%88%D8%B9	Timeout
http://dbpedia.org/resource/Null_Device	Timeout
http://rdf.freebase.com/ns/m/03gypx	NotFound
http://pt.dbpedia.org/resource/12º_Exército_(Alemanha)	NotRedirect
http://uk.dbpedia.org/resource/Земля_ладану	RedirectedUntilNotFound
http://ar.dbpedia.org/resource/صياد_السمك_الأخضر	Timeout
http://dbpedia.org/resource/Sean_Boru	Timeout
http://commons.dbpedia.org/resource/Category:Ahvaz	Timeout
http://dbpedia.org/resource/Murat_Dalk%C4%B1l%C4%B1%C3%A7	RedirectedUntilLanded
http://arz.dbpedia.org/resource/%D8%AF%D8%A8%D9%89	Error
http://dbpedia.org/resource/Validus	RedirectedUntilNotFound
http://dbpedia.org/resource/A-Vision_Entertainment	RedirectedUntilNotFound
http://hu.dbpedia.org/resource/1923-as_Tour_de_France	RedirectedUntilLanded
http://be-x-old.dbpedia.org/resource/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:User_sk-2	Error
http://ko.dbpedia.org/resource/고대_오리엔트_박물관	RedirectedUntilLanded
http://commons.dbpedia.org/resource/Category:Education_in_Northern_Ireland	Timeout
http://rdf.freebase.com/ns/m/051wbgz	NotFound
http://mpii.de/yago/resource/Oliver_Maillard	RedirectedUntilNotFound
http://dbpedia.org/resource/Avia_B-234	RedirectedUntilNotFound
http://fr.dbpedia.org/resource/Tyndall_(Dakota_du_Sud)	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Sociální_informatika	RedirectedUntilNotFound
http://rdf.freebase.com/ns/m.0rtl3	NotFound
http://bg.dbpedia.org/resource/Straight_Between_the_Eyes	RedirectedUntilLanded
http://zh.dbpedia.org/resource/長野博	Error
http://pl.dbpedia.org/resource/(14367)_Hippokrates	NotFound
http://dbpedia.org/resource/Creme_de_la_Creme_(band)	RedirectedUntilNotFound
http://www.wikidata.org/entity/Q74648	RedirectedUntilLanded
http://rdf.freebase.com/ns/m.04lcqy9	NotFound
http://bg.dbpedia.org/resource/%D0%A1%D0%B2%D0%B5%D1%82%D0%B8_%D0%92%D0%B8%D1%82	RedirectedUntilLanded
http://af.dbpedia.org/resource/Kategorie:Suid-Afrikaanse_rolprente	Error
http://rdf.freebase.com/ns/m.0dt9dx	NotFound
http://ca.dbpedia.org/resource/OS_X_10.8	RedirectedUntilLanded
http://dbpedia.org/resource/Valdemorales,_Spain	Timeout
http://dbpedia.org/resource/Draževići	Timeout
http://oc.dbpedia.org/resource/Categoria:Can%C3%A7on_revolucion%C3%A0ria	Error
http://nl.dbpedia.org/resource/Grand_Prix_Formule_1_van_Groot-Brittanni%C3%AB_1956	RedirectedUntilLanded
http://be.dbpedia.org/resource/%D0%94%D0%B0%D1%86%D0%BA%D0%B0%D1%8F_%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F	NotFound
http://ar.dbpedia.org/resource/لاما_دي_بيلينيي	Timeout
