Entity	Remark
http://hub.culturegraph.org/about/BVB-BV000700164	NotFound
http://nl.dbpedia.org/resource/H%E1%BB%93ng_Ch%C3%A2u	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/journals/amc/KazmiKS11/dblp	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/journals/cvgip/HohmeyerB91/dblp	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/conf/adbis/BasarabGN96/dblp	RedirectedUntilLanded
http://d-nb.info/gnd/126627177	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/journals/ijcv/RavivBBK10/dblp	RedirectedUntilLanded
http://ja.dbpedia.org/resource/三成聖者大聖堂	RedirectedUntilLanded
http://bg.dbpedia.org/resource/%D0%94%D1%8A%D0%B1%D1%80%D0%B0%D0%B2%D0%B8%D1%86%D0%B0	RedirectedUntilLanded
http://lobid.org/resource/ZDB1098516-5	RedirectedUntilLanded
http://it.dbpedia.org/resource/GGU	Error
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000a5f0972	NotFound
http://zh.dbpedia.org/resource/麻沿河乡	Error
http://dblp.rkbexplorer.com/id/journals/jirs/FariaRL15	Error
http://lod.b3kat.de/title/BV006901775	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/conf/dicta/SchauerteF10/dblp	RedirectedUntilError
http://rdf.freebase.com/ns/m.02776xb	NotFound
http://bibsonomy.org/uri/bibtexkey/conf/chi/BohnerDFKM09/dblp	RedirectedUntilError
http://bibsonomy.org/uri/bibtexkey/conf/bhi/SooklalMT14/dblp	RedirectedUntilLanded
http://bibsonomy.org/uri/bibtexkey/conf/pimrc/SattarzadehO11/dblp	RedirectedUntilError
http://bibsonomy.org/uri/bibtexkey/journals/jco/HouK12/dblp	RedirectedUntilLanded
http://als.dbpedia.org/resource/M%C3%BCnsterh%C3%BCgel_(Basel)	Error
http://ja.dbpedia.org/resource/%E3%82%B3%E3%83%B3%E3%83%94%E3%83%A5%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B7%E3%83%86%E3%82%A3	Timeout
http://dblp.uni-trier.de/db/conf/eccv/eccv1990.html#Provan90	RedirectedUntilLanded
http://dbpedia.org/resource/Theodore_Strongin	Timeout
http://lod.b3kat.de/title/BV002324354	RedirectedUntilLanded
