Label	Comment	Num_Hops	PATH
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q4326093', 'https://www.wikidata.org/wiki/Special:EntityData/Q4326093', 'https://www.wikidata.org/wiki/Special:EntityData/Q4326093.json']
RedirectedUntilLanded	dbpedia.org	6	['http://dbpedia.org/page/Konstadt', 'https://dbpedia.org/page/Konstadt', 'http://dbpedia.org/resource/Wo%C5%82czyn', 'https://dbpedia.org/resource/Wo%C5%82czyn', 'http://dbpedia.org/page/Wo%C5%82czyn', 'https://dbpedia.org/page/Wo%C5%82czyn']
RedirectedUntilTimeout	last.fm	3	['http://www.last.fm/user/windee/', 'https://www.last.fm/user/windee/', 'https://www.last.fm/user/windee']
RedirectedUntilTimeout	dbpedia.org	3	['https://dbpedia.org/resource/Lowell_Murray', 'http://dbpedia.org/page/Lowell_Murray', 'https://dbpedia.org/page/Lowell_Murray']
RedirectedUntilLanded	ja.dbpedia.org	3	['https://ja.dbpedia.org/resource/NBA%E3%82%A8%E3%83%AA%E3%83%BC%E3%83%88', 'http://ja.dbpedia.org/page/NBA%E3%82%A8%E3%83%AA%E3%83%BC%E3%83%88', 'https://ja.dbpedia.org/page/NBA%E3%82%A8%E3%83%AA%E3%83%BC%E3%83%88']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/170092720', 'https://d-nb.info/gnd/170092720/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D170092720']
RedirectedUntilLanded	wikidata.org	4	['https://wikidata.org/entity/Q15258619', 'https://www.wikidata.org/entity/Q15258619', 'https://www.wikidata.org/wiki/Special:EntityData/Q15258619', 'https://www.wikidata.org/wiki/Special:EntityData/Q15258619.json']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/1062749200', 'https://d-nb.info/gnd/1062749200/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D1062749200']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/137453450', 'https://d-nb.info/gnd/137453450/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D137453450']
RedirectedUntilNotFound	mpi-inf.mpg.de	3	['https://www.mpi-inf.mpg.de/yago/resource/Gamma_Ray_Burst_Coordinates_Network', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/Gamma_Ray_Burst_Coordinates_Network', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/gamma_ray_burst_coordinates_network']
